VCD info: dumpfile state_tb.vcd opened for output.
         0 CLK=0 : cur=xx RESETL=1 SW1=0 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=x, min_onoff=x, hour_onoff=x
      8500 CLK=1 : cur=01 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=0, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
      9000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
      9500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     10000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     10500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     11000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     11500 CLK=1 : cur=11 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     12000 CLK=0 : cur=11 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=1, sec_onoff=0, min_onoff=0, hour_onoff=1
     12500 CLK=1 : cur=11 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=0, hour_inc=1, sec_onoff=0, min_onoff=0, hour_onoff=1
     13000 CLK=0 : cur=11 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     13500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     14000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     14500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     15000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     15500 CLK=1 : cur=11 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     16000 CLK=0 : cur=11 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     16500 CLK=1 : cur=10 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     17000 CLK=0 : cur=10 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=1, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     17500 CLK=1 : cur=10 RESETL=1 SW1=1 SW2=0 SW3=0 sec_resetl=1, min_inc=1, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     18000 CLK=0 : cur=10 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     18500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     19000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     19500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     20000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     20500 CLK=1 : cur=11 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     21000 CLK=0 : cur=11 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=1
     21500 CLK=1 : cur=10 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     22000 CLK=0 : cur=10 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=1, hour_onoff=0
     22500 CLK=1 : cur=01 RESETL=1 SW1=0 SW2=0 SW3=1 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     23000 CLK=0 : cur=01 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=1, min_onoff=0, hour_onoff=0
     23500 CLK=1 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
     24000 CLK=0 : cur=00 RESETL=1 SW1=0 SW2=1 SW3=0 sec_resetl=1, min_inc=0, hour_inc=0, sec_onoff=0, min_onoff=0, hour_onoff=0
